Date,Close,Open,High,Low,Volume,Change_pct
20.12.2022,128,127.2,129.52,126.66,199560,-0.57%
19.12.2022,128.74,133,133.58,128.2,286410,-2.94%
16.12.2022,132.64,129.3,134.7,126.66,886980,2.11%
15.12.2022,129.9,141,141,129.9,914580,-8.91%
14.12.2022,142.6,137.1,143,136.38,407500,4.07%
13.12.2022,137.02,135.48,139.8,133.8,309990,1.86%
12.12.2022,134.52,132,136.7,130,250400,2.39%
9.12.2022,131.38,127.5,132.2,126.5,265110,3.87%
8.12.2022,126.48,129,129.8,125.1,267770,-1.57%
7.12.2022,128.5,130.76,130.76,128.08,289340,-1.73%
6.12.2022,130.76,128,131.5,125.68,389620,2.32%
5.12.2022,127.8,128.68,132.84,127.5,461700,0.38%
2.12.2022,127.32,124,129.5,121.24,601970,3.03%
1.12.2022,123.58,133,134.5,123.4,990990,-5.65%
30.11.2022,130.98,131.48,134.32,128.72,755590,-0.38%
29.11.2022,131.48,142.02,142.62,128.48,1280000,-5.08%
28.11.2022,138.52,140,140.96,137.34,363610,-1.06%
25.11.2022,140,141,144.6,140,376520,-0.98%
24.11.2022,141.38,140,143.38,140,250570,2.01%
23.11.2022,138.6,138.8,141.98,137.18,236650,0.48%
22.11.2022,137.94,140,143.84,137.14,377090,-0.96%
21.11.2022,139.28,144.7,145.9,135.04,489770,-3.94%
18.11.2022,145,147.34,153.5,144.9,422210,-1.25%
17.11.2022,146.84,147.06,148.88,143.2,287220,1.14%
16.11.2022,145.18,145.5,150.22,145,507270,-1.57%
15.11.2022,147.5,149,149.6,143.56,429610,1.33%
14.11.2022,145.56,141,148.98,141,715800,3.38%
10.11.2022,140.8,135.9,143,134.92,393950,3.29%
9.11.2022,136.32,135.7,137.06,133.54,194130,0.18%
8.11.2022,136.08,136,137.14,131.94,431530,-0.15%
7.11.2022,136.28,139.98,142.42,133.02,434480,-2.08%
4.11.2022,139.18,135,140,133.92,361600,3.68%
3.11.2022,134.24,133,135.48,130.3,505830,-1.45%
2.11.2022,136.22,127.5,136.5,126.18,918440,7.18%
31.10.2022,127.1,124,128.6,122.7,443320,2.50%
28.10.2022,124,119.5,124.7,118.54,603440,3.25%
27.10.2022,120.1,122.46,122.46,118.5,412610,-1.93%
26.10.2022,122.46,118.26,123.4,117.3,624190,3.55%
25.10.2022,118.26,120.5,121.08,117.54,649380,-2.26%
24.10.2022,121,120,124.86,119.5,638910,2.02%
21.10.2022,118.6,117.98,122.3,117.2,487840,-0.27%
20.10.2022,118.92,120,120.48,116.94,680870,0.17%
19.10.2022,118.72,122.66,123.34,118.72,637330,-2.06%
18.10.2022,121.22,119.2,125.88,118.34,950590,2.76%
17.10.2022,117.96,114.5,117.98,113.36,381470,3.69%
14.10.2022,113.76,115,117.22,113.02,498210,1.52%
13.10.2022,112.06,114,116.9,111.28,651180,-2.39%
12.10.2022,114.8,120.8,120.8,114,677540,-4.97%
11.10.2022,120.8,114.5,120.8,112.38,976530,5.34%
10.10.2022,114.68,114.9,116.14,113,736060,-1.33%
7.10.2022,116.22,111,116.22,109.02,786410,4.20%
6.10.2022,111.54,112.98,113,108.6,827350,1.16%
5.10.2022,110.26,118.34,123.32,109.52,2660000,1.72%
4.10.2022,108.4,107,109.5,105.72,926620,2.90%
3.10.2022,105.34,100,105.92,96.6,1020000,5.13%
30.9.2022,100.2,98.62,101.96,97,701000,1.60%
29.9.2022,98.62,107,108.5,97.82,906180,-6.75%
28.9.2022,105.76,103,106.5,100.7,837860,1.63%
27.9.2022,104.06,102.32,106.98,100.02,1640000,1.34%
26.9.2022,102.68,94.97,104,91.11,1480000,13.47%
23.9.2022,90.49,90,93.63,88.5,1560000,2.26%
22.9.2022,88.49,86.7,91.5,86.05,940570,0.65%
21.9.2022,87.92,88.42,90.23,86.72,403640,-1.53%
20.9.2022,89.29,89.8,90.65,87.82,544300,0.43%
19.9.2022,88.91,95.1,97.46,87.9,1640000,0.16%
16.9.2022,88.77,89.86,90.94,86.51,2820000,-3.20%
15.9.2022,91.7,90.6,92.6,88.5,1040000,1.39%
14.9.2022,90.44,85.9,90.65,85.01,652750,4.97%
13.9.2022,86.16,85.4,89.48,85.01,855970,1.80%
12.9.2022,84.64,88,88.21,82.62,635210,-3.60%
9.9.2022,87.8,84.7,87.8,83,610040,6.93%
8.9.2022,82.11,81,84.44,79.03,959960,5.42%
7.9.2022,77.89,81,84.2,76.81,704960,-0.87%
6.9.2022,78.57,82.2,82.39,78.42,415890,-3.78%
5.9.2022,81.66,82.05,83.37,81,361220,-0.41%
2.9.2022,82,81.92,82.5,80.12,374490,0.61%
1.9.2022,81.5,84,84,81.3,369250,-3.11%
31.8.2022,84.12,82.01,86,82,570410,2.70%
30.8.2022,81.91,82.86,83.67,81.5,367150,-0.75%
29.8.2022,82.53,82.32,82.93,80.85,203980,-1.75%
26.8.2022,84,82.9,85.86,82,452520,1.40%
25.8.2022,82.84,84.8,85.74,82.15,209140,-1.39%
24.8.2022,84.01,84,84.94,82.6,360300,0.01%
23.8.2022,84,85.93,86.46,83.95,370050,-2.39%
22.8.2022,86.06,88.4,88.44,85.7,496120,-3.23%
19.8.2022,88.93,90.97,91.32,88.93,468740,-3.44%
18.8.2022,92.1,93.5,94.5,90.8,186720,-1.50%
17.8.2022,93.5,92.55,93.89,91.7,286370,1.03%
16.8.2022,92.55,95.47,96.69,91.81,295820,-1.54%
12.8.2022,94,96.4,96.4,93.19,285230,-1.68%
11.8.2022,95.61,92,95.88,91.7,340820,3.92%
10.8.2022,92,89.5,92.75,87.6,281540,3.95%
9.8.2022,88.5,91.97,93,88.46,235340,-3.49%
8.8.2022,91.7,93.5,93.5,90.11,331810,-1.04%
5.8.2022,92.66,92.5,94.89,92.02,426480,0.19%
4.8.2022,92.48,88.5,93.55,87.7,439230,5.45%
